request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,error,connection_error,19.245,1771068110.073557,1771068110.092803,2026-02-14T11:21:50.073557+00:00,2026-02-14T11:21:50.092803+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.498,1771068110.454712,1771068110.455211,2026-02-14T11:21:50.454712+00:00,2026-02-14T11:21:50.455211+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.106,1771068110.595845,1771068110.596952,2026-02-14T11:21:50.595845+00:00,2026-02-14T11:21:50.596952+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.011,1771068110.670474,1771068110.671485,2026-02-14T11:21:50.670474+00:00,2026-02-14T11:21:50.671485+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.343,1771068110.714952,1771068110.715296,2026-02-14T11:21:50.714952+00:00,2026-02-14T11:21:50.715296+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.325,1771068110.737687,1771068110.738012,2026-02-14T11:21:50.737687+00:00,2026-02-14T11:21:50.738012+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,0.469,1771068110.816493,1771068110.816962,2026-02-14T11:21:50.816493+00:00,2026-02-14T11:21:50.816962+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.482,1771068111.012786,1771068111.013268,2026-02-14T11:21:51.012786+00:00,2026-02-14T11:21:51.013268+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.313,1771068111.033668,1771068111.033981,2026-02-14T11:21:51.033668+00:00,2026-02-14T11:21:51.033981+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.408,1771068111.384739,1771068111.385149,2026-02-14T11:21:51.384739+00:00,2026-02-14T11:21:51.385149+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.486,1771068111.499719,1771068111.500205,2026-02-14T11:21:51.499719+00:00,2026-02-14T11:21:51.500205+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.426,1771068111.582793,1771068111.58322,2026-02-14T11:21:51.582793+00:00,2026-02-14T11:21:51.583220+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.33,1771068111.616653,1771068111.616984,2026-02-14T11:21:51.616653+00:00,2026-02-14T11:21:51.616984+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,0.491,1771068111.904727,1771068111.905219,2026-02-14T11:21:51.904727+00:00,2026-02-14T11:21:51.905219+00:00,,,,180.0,[Errno 111] Connection refused
14,medium,30,error,connection_error,0.452,1771068112.490318,1771068112.49077,2026-02-14T11:21:52.490318+00:00,2026-02-14T11:21:52.490770+00:00,,,,180.0,[Errno 111] Connection refused
15,small,3,error,connection_error,0.295,1771068112.507207,1771068112.507502,2026-02-14T11:21:52.507207+00:00,2026-02-14T11:21:52.507502+00:00,,,,180.0,[Errno 111] Connection refused
16,small,3,error,connection_error,0.421,1771068112.629019,1771068112.629441,2026-02-14T11:21:52.629019+00:00,2026-02-14T11:21:52.629441+00:00,,,,180.0,[Errno 111] Connection refused
17,small,3,error,connection_error,0.444,1771068112.810132,1771068112.810576,2026-02-14T11:21:52.810132+00:00,2026-02-14T11:21:52.810576+00:00,,,,180.0,[Errno 111] Connection refused
18,small,3,error,connection_error,0.331,1771068112.835224,1771068112.835555,2026-02-14T11:21:52.835224+00:00,2026-02-14T11:21:52.835555+00:00,,,,180.0,[Errno 111] Connection refused
19,medium,30,error,connection_error,0.503,1771068113.468592,1771068113.469095,2026-02-14T11:21:53.468592+00:00,2026-02-14T11:21:53.469095+00:00,,,,180.0,[Errno 111] Connection refused
20,medium,30,error,connection_error,0.459,1771068113.668725,1771068113.669184,2026-02-14T11:21:53.668725+00:00,2026-02-14T11:21:53.669184+00:00,,,,180.0,[Errno 111] Connection refused
21,small,3,error,connection_error,0.411,1771068114.13913,1771068114.139543,2026-02-14T11:21:54.139130+00:00,2026-02-14T11:21:54.139543+00:00,,,,180.0,[Errno 111] Connection refused
22,small,3,error,connection_error,0.397,1771068114.541493,1771068114.54189,2026-02-14T11:21:54.541493+00:00,2026-02-14T11:21:54.541890+00:00,,,,180.0,[Errno 111] Connection refused
23,small,3,error,connection_error,0.43,1771068115.208116,1771068115.208547,2026-02-14T11:21:55.208116+00:00,2026-02-14T11:21:55.208547+00:00,,,,180.0,[Errno 111] Connection refused
24,medium,30,error,connection_error,0.44,1771068115.607401,1771068115.607842,2026-02-14T11:21:55.607401+00:00,2026-02-14T11:21:55.607842+00:00,,,,180.0,[Errno 111] Connection refused
25,small,3,error,connection_error,0.384,1771068116.227962,1771068116.228347,2026-02-14T11:21:56.227962+00:00,2026-02-14T11:21:56.228347+00:00,,,,180.0,[Errno 111] Connection refused
26,medium,30,error,connection_error,0.409,1771068116.268819,1771068116.269228,2026-02-14T11:21:56.268819+00:00,2026-02-14T11:21:56.269228+00:00,,,,180.0,[Errno 111] Connection refused
27,medium,30,error,connection_error,0.473,1771068116.354731,1771068116.355205,2026-02-14T11:21:56.354731+00:00,2026-02-14T11:21:56.355205+00:00,,,,180.0,[Errno 111] Connection refused
28,small,3,error,connection_error,0.404,1771068116.721031,1771068116.721436,2026-02-14T11:21:56.721031+00:00,2026-02-14T11:21:56.721436+00:00,,,,180.0,[Errno 111] Connection refused
29,large,500,error,connection_error,1.991,1771068116.860092,1771068116.862083,2026-02-14T11:21:56.860092+00:00,2026-02-14T11:21:56.862083+00:00,,,,180.0,[Errno 111] Connection refused
30,medium,30,error,connection_error,0.486,1771068117.053787,1771068117.054274,2026-02-14T11:21:57.053787+00:00,2026-02-14T11:21:57.054274+00:00,,,,180.0,[Errno 111] Connection refused
31,small,3,error,connection_error,0.374,1771068117.349045,1771068117.349419,2026-02-14T11:21:57.349045+00:00,2026-02-14T11:21:57.349419+00:00,,,,180.0,[Errno 111] Connection refused
32,medium,30,error,connection_error,0.425,1771068117.459001,1771068117.459427,2026-02-14T11:21:57.459001+00:00,2026-02-14T11:21:57.459427+00:00,,,,180.0,[Errno 111] Connection refused
33,large,500,error,connection_error,0.969,1771068117.463793,1771068117.464762,2026-02-14T11:21:57.463793+00:00,2026-02-14T11:21:57.464762+00:00,,,,180.0,[Errno 111] Connection refused
34,small,3,error,connection_error,0.286,1771068117.494127,1771068117.494413,2026-02-14T11:21:57.494127+00:00,2026-02-14T11:21:57.494413+00:00,,,,180.0,[Errno 111] Connection refused
35,small,3,error,connection_error,0.371,1771068117.741118,1771068117.74149,2026-02-14T11:21:57.741118+00:00,2026-02-14T11:21:57.741490+00:00,,,,180.0,[Errno 111] Connection refused
36,large,500,error,connection_error,1.06,1771068118.072288,1771068118.073349,2026-02-14T11:21:58.072288+00:00,2026-02-14T11:21:58.073349+00:00,,,,180.0,[Errno 111] Connection refused
37,small,3,error,connection_error,0.254,1771068118.078749,1771068118.079003,2026-02-14T11:21:58.078749+00:00,2026-02-14T11:21:58.079003+00:00,,,,180.0,[Errno 111] Connection refused
38,large,500,error,connection_error,0.98,1771068118.136411,1771068118.137392,2026-02-14T11:21:58.136411+00:00,2026-02-14T11:21:58.137392+00:00,,,,180.0,[Errno 111] Connection refused
39,large,500,error,connection_error,1.032,1771068118.400152,1771068118.401185,2026-02-14T11:21:58.400152+00:00,2026-02-14T11:21:58.401185+00:00,,,,180.0,[Errno 111] Connection refused
40,small,3,error,connection_error,0.386,1771068118.464714,1771068118.465101,2026-02-14T11:21:58.464714+00:00,2026-02-14T11:21:58.465101+00:00,,,,180.0,[Errno 111] Connection refused
41,medium,30,error,connection_error,0.668,1771068118.588648,1771068118.589316,2026-02-14T11:21:58.588648+00:00,2026-02-14T11:21:58.589316+00:00,,,,180.0,[Errno 111] Connection refused
42,medium,30,error,connection_error,0.46,1771068118.772961,1771068118.773422,2026-02-14T11:21:58.772961+00:00,2026-02-14T11:21:58.773422+00:00,,,,180.0,[Errno 111] Connection refused
43,large,500,error,connection_error,1.017,1771068118.991091,1771068118.992108,2026-02-14T11:21:58.991091+00:00,2026-02-14T11:21:58.992108+00:00,,,,180.0,[Errno 111] Connection refused
44,medium,30,error,connection_error,0.372,1771068119.030553,1771068119.030925,2026-02-14T11:21:59.030553+00:00,2026-02-14T11:21:59.030925+00:00,,,,180.0,[Errno 111] Connection refused
45,large,500,error,connection_error,0.996,1771068119.268597,1771068119.269594,2026-02-14T11:21:59.268597+00:00,2026-02-14T11:21:59.269594+00:00,,,,180.0,[Errno 111] Connection refused
46,medium,30,error,connection_error,0.415,1771068119.345097,1771068119.345512,2026-02-14T11:21:59.345097+00:00,2026-02-14T11:21:59.345512+00:00,,,,180.0,[Errno 111] Connection refused
47,small,3,error,connection_error,0.43,1771068119.718398,1771068119.718828,2026-02-14T11:21:59.718398+00:00,2026-02-14T11:21:59.718828+00:00,,,,180.0,[Errno 111] Connection refused
48,medium,30,error,connection_error,0.487,1771068119.81646,1771068119.816947,2026-02-14T11:21:59.816460+00:00,2026-02-14T11:21:59.816947+00:00,,,,180.0,[Errno 111] Connection refused
49,small,3,error,connection_error,0.257,1771068119.825317,1771068119.825574,2026-02-14T11:21:59.825317+00:00,2026-02-14T11:21:59.825574+00:00,,,,180.0,[Errno 111] Connection refused
50,medium,30,error,connection_error,0.442,1771068120.109246,1771068120.109688,2026-02-14T11:22:00.109246+00:00,2026-02-14T11:22:00.109688+00:00,,,,180.0,[Errno 111] Connection refused
51,large,500,error,connection_error,1.001,1771068120.279374,1771068120.280375,2026-02-14T11:22:00.279374+00:00,2026-02-14T11:22:00.280375+00:00,,,,180.0,[Errno 111] Connection refused
52,small,3,error,connection_error,0.437,1771068120.569155,1771068120.569593,2026-02-14T11:22:00.569155+00:00,2026-02-14T11:22:00.569593+00:00,,,,180.0,[Errno 111] Connection refused
53,small,3,error,connection_error,0.439,1771068120.570989,1771068120.571428,2026-02-14T11:22:00.570989+00:00,2026-02-14T11:22:00.571428+00:00,,,,180.0,[Errno 111] Connection refused
54,medium,30,error,connection_error,0.447,1771068120.816115,1771068120.816563,2026-02-14T11:22:00.816115+00:00,2026-02-14T11:22:00.816563+00:00,,,,180.0,[Errno 111] Connection refused
55,medium,30,error,connection_error,0.319,1771068120.840009,1771068120.840328,2026-02-14T11:22:00.840009+00:00,2026-02-14T11:22:00.840328+00:00,,,,180.0,[Errno 111] Connection refused
56,large,500,error,connection_error,0.972,1771068121.077978,1771068121.07895,2026-02-14T11:22:01.077978+00:00,2026-02-14T11:22:01.078950+00:00,,,,180.0,[Errno 111] Connection refused
57,small,3,error,connection_error,0.427,1771068121.365724,1771068121.366153,2026-02-14T11:22:01.365724+00:00,2026-02-14T11:22:01.366153+00:00,,,,180.0,[Errno 111] Connection refused
58,small,3,error,connection_error,0.379,1771068121.603991,1771068121.60437,2026-02-14T11:22:01.603991+00:00,2026-02-14T11:22:01.604370+00:00,,,,180.0,[Errno 111] Connection refused
59,medium,30,error,connection_error,0.473,1771068122.342628,1771068122.343102,2026-02-14T11:22:02.342628+00:00,2026-02-14T11:22:02.343102+00:00,,,,180.0,[Errno 111] Connection refused
60,medium,30,error,connection_error,0.466,1771068122.560808,1771068122.561274,2026-02-14T11:22:02.560808+00:00,2026-02-14T11:22:02.561274+00:00,,,,180.0,[Errno 111] Connection refused
61,medium,30,error,connection_error,0.281,1771068122.563657,1771068122.563938,2026-02-14T11:22:02.563657+00:00,2026-02-14T11:22:02.563938+00:00,,,,180.0,[Errno 111] Connection refused
62,small,3,error,connection_error,0.414,1771068122.770552,1771068122.770967,2026-02-14T11:22:02.770552+00:00,2026-02-14T11:22:02.770967+00:00,,,,180.0,[Errno 111] Connection refused
63,small,3,error,connection_error,0.36,1771068122.826461,1771068122.826822,2026-02-14T11:22:02.826461+00:00,2026-02-14T11:22:02.826822+00:00,,,,180.0,[Errno 111] Connection refused
64,large,500,error,connection_error,1.008,1771068122.915334,1771068122.916342,2026-02-14T11:22:02.915334+00:00,2026-02-14T11:22:02.916342+00:00,,,,180.0,[Errno 111] Connection refused
65,medium,30,error,connection_error,0.654,1771068123.04902,1771068123.049675,2026-02-14T11:22:03.049020+00:00,2026-02-14T11:22:03.049675+00:00,,,,180.0,[Errno 111] Connection refused
66,small,3,error,connection_error,0.367,1771068123.101189,1771068123.101557,2026-02-14T11:22:03.101189+00:00,2026-02-14T11:22:03.101557+00:00,,,,180.0,[Errno 111] Connection refused
67,medium,30,error,connection_error,0.417,1771068123.182095,1771068123.182512,2026-02-14T11:22:03.182095+00:00,2026-02-14T11:22:03.182512+00:00,,,,180.0,[Errno 111] Connection refused
68,small,3,error,connection_error,0.374,1771068123.256071,1771068123.256445,2026-02-14T11:22:03.256071+00:00,2026-02-14T11:22:03.256445+00:00,,,,180.0,[Errno 111] Connection refused
69,medium,30,error,connection_error,0.299,1771068123.263841,1771068123.264141,2026-02-14T11:22:03.263841+00:00,2026-02-14T11:22:03.264141+00:00,,,,180.0,[Errno 111] Connection refused
70,small,3,error,connection_error,0.435,1771068123.853229,1771068123.853664,2026-02-14T11:22:03.853229+00:00,2026-02-14T11:22:03.853664+00:00,,,,180.0,[Errno 111] Connection refused
71,medium,30,error,connection_error,0.363,1771068123.902146,1771068123.902509,2026-02-14T11:22:03.902146+00:00,2026-02-14T11:22:03.902509+00:00,,,,180.0,[Errno 111] Connection refused
72,small,3,error,connection_error,0.398,1771068124.182277,1771068124.182675,2026-02-14T11:22:04.182277+00:00,2026-02-14T11:22:04.182675+00:00,,,,180.0,[Errno 111] Connection refused
73,small,3,error,connection_error,0.414,1771068124.407444,1771068124.407858,2026-02-14T11:22:04.407444+00:00,2026-02-14T11:22:04.407858+00:00,,,,180.0,[Errno 111] Connection refused
74,medium,30,error,connection_error,0.471,1771068124.579598,1771068124.58007,2026-02-14T11:22:04.579598+00:00,2026-02-14T11:22:04.580070+00:00,,,,180.0,[Errno 111] Connection refused
75,medium,30,error,connection_error,0.436,1771068124.903944,1771068124.90438,2026-02-14T11:22:04.903944+00:00,2026-02-14T11:22:04.904380+00:00,,,,180.0,[Errno 111] Connection refused
76,large,500,error,connection_error,1.003,1771068125.050055,1771068125.051059,2026-02-14T11:22:05.050055+00:00,2026-02-14T11:22:05.051059+00:00,,,,180.0,[Errno 111] Connection refused
77,medium,30,error,connection_error,0.672,1771068125.222711,1771068125.223382,2026-02-14T11:22:05.222711+00:00,2026-02-14T11:22:05.223382+00:00,,,,180.0,[Errno 111] Connection refused
78,small,3,error,connection_error,0.397,1771068125.325015,1771068125.325413,2026-02-14T11:22:05.325015+00:00,2026-02-14T11:22:05.325413+00:00,,,,180.0,[Errno 111] Connection refused
79,medium,30,error,connection_error,0.434,1771068125.508125,1771068125.50856,2026-02-14T11:22:05.508125+00:00,2026-02-14T11:22:05.508560+00:00,,,,180.0,[Errno 111] Connection refused
80,small,3,error,connection_error,0.409,1771068125.704237,1771068125.704647,2026-02-14T11:22:05.704237+00:00,2026-02-14T11:22:05.704647+00:00,,,,180.0,[Errno 111] Connection refused
81,medium,30,error,connection_error,0.438,1771068125.840297,1771068125.840736,2026-02-14T11:22:05.840297+00:00,2026-02-14T11:22:05.840736+00:00,,,,180.0,[Errno 111] Connection refused
82,small,3,error,connection_error,0.931,1771068125.993542,1771068125.994474,2026-02-14T11:22:05.993542+00:00,2026-02-14T11:22:05.994474+00:00,,,,180.0,[Errno 111] Connection refused
83,medium,30,error,connection_error,0.675,1771068125.993939,1771068125.994615,2026-02-14T11:22:05.993939+00:00,2026-02-14T11:22:05.994615+00:00,,,,180.0,[Errno 111] Connection refused
84,small,3,error,connection_error,0.398,1771068126.160293,1771068126.160691,2026-02-14T11:22:06.160293+00:00,2026-02-14T11:22:06.160691+00:00,,,,180.0,[Errno 111] Connection refused
85,small,3,error,connection_error,0.475,1771068126.425483,1771068126.425959,2026-02-14T11:22:06.425483+00:00,2026-02-14T11:22:06.425959+00:00,,,,180.0,[Errno 111] Connection refused
86,small,3,error,connection_error,0.446,1771068126.659675,1771068126.660123,2026-02-14T11:22:06.659675+00:00,2026-02-14T11:22:06.660123+00:00,,,,180.0,[Errno 111] Connection refused
87,small,3,error,connection_error,0.45,1771068126.725654,1771068126.726104,2026-02-14T11:22:06.725654+00:00,2026-02-14T11:22:06.726104+00:00,,,,180.0,[Errno 111] Connection refused
88,small,3,error,connection_error,0.442,1771068127.646487,1771068127.646929,2026-02-14T11:22:07.646487+00:00,2026-02-14T11:22:07.646929+00:00,,,,180.0,[Errno 111] Connection refused
89,large,500,error,connection_error,1.186,1771068127.803822,1771068127.805009,2026-02-14T11:22:07.803822+00:00,2026-02-14T11:22:07.805009+00:00,,,,180.0,[Errno 111] Connection refused
90,small,3,error,connection_error,0.452,1771068127.881603,1771068127.882056,2026-02-14T11:22:07.881603+00:00,2026-02-14T11:22:07.882056+00:00,,,,180.0,[Errno 111] Connection refused
91,small,3,error,connection_error,0.448,1771068128.048705,1771068128.049154,2026-02-14T11:22:08.048705+00:00,2026-02-14T11:22:08.049154+00:00,,,,180.0,[Errno 111] Connection refused
92,medium,30,error,connection_error,0.474,1771068128.130773,1771068128.131247,2026-02-14T11:22:08.130773+00:00,2026-02-14T11:22:08.131247+00:00,,,,180.0,[Errno 111] Connection refused
93,small,3,error,connection_error,0.455,1771068128.18879,1771068128.189246,2026-02-14T11:22:08.188790+00:00,2026-02-14T11:22:08.189246+00:00,,,,180.0,[Errno 111] Connection refused
94,large,500,error,connection_error,1.008,1771068128.244774,1771068128.245784,2026-02-14T11:22:08.244774+00:00,2026-02-14T11:22:08.245784+00:00,,,,180.0,[Errno 111] Connection refused
95,small,3,error,connection_error,0.42,1771068128.371417,1771068128.371837,2026-02-14T11:22:08.371417+00:00,2026-02-14T11:22:08.371837+00:00,,,,180.0,[Errno 111] Connection refused
96,large,500,error,connection_error,1.014,1771068129.145174,1771068129.146189,2026-02-14T11:22:09.145174+00:00,2026-02-14T11:22:09.146189+00:00,,,,180.0,[Errno 111] Connection refused
98,large,500,error,connection_error,0.964,1771068129.169597,1771068129.170562,2026-02-14T11:22:09.169597+00:00,2026-02-14T11:22:09.170562+00:00,,,,180.0,[Errno 111] Connection refused
97,large,500,error,connection_error,2.023,1771068129.168649,1771068129.170673,2026-02-14T11:22:09.168649+00:00,2026-02-14T11:22:09.170673+00:00,,,,180.0,[Errno 111] Connection refused
99,large,500,error,connection_error,0.958,1771068129.202106,1771068129.203064,2026-02-14T11:22:09.202106+00:00,2026-02-14T11:22:09.203064+00:00,,,,180.0,[Errno 111] Connection refused
100,large,500,error,connection_error,1.073,1771068129.650945,1771068129.652019,2026-02-14T11:22:09.650945+00:00,2026-02-14T11:22:09.652019+00:00,,,,180.0,[Errno 111] Connection refused
101,small,3,error,connection_error,0.433,1771068129.831977,1771068129.83241,2026-02-14T11:22:09.831977+00:00,2026-02-14T11:22:09.832410+00:00,,,,180.0,[Errno 111] Connection refused
102,small,3,error,connection_error,0.432,1771068129.867932,1771068129.868365,2026-02-14T11:22:09.867932+00:00,2026-02-14T11:22:09.868365+00:00,,,,180.0,[Errno 111] Connection refused
103,large,500,error,connection_error,1.01,1771068130.034036,1771068130.035046,2026-02-14T11:22:10.034036+00:00,2026-02-14T11:22:10.035046+00:00,,,,180.0,[Errno 111] Connection refused
104,small,3,error,connection_error,0.412,1771068130.460965,1771068130.461378,2026-02-14T11:22:10.460965+00:00,2026-02-14T11:22:10.461378+00:00,,,,180.0,[Errno 111] Connection refused
105,medium,30,error,connection_error,0.462,1771068130.509933,1771068130.510396,2026-02-14T11:22:10.509933+00:00,2026-02-14T11:22:10.510396+00:00,,,,180.0,[Errno 111] Connection refused
106,small,3,error,connection_error,0.433,1771068130.833205,1771068130.833638,2026-02-14T11:22:10.833205+00:00,2026-02-14T11:22:10.833638+00:00,,,,180.0,[Errno 111] Connection refused
107,large,500,error,connection_error,1.021,1771068131.152488,1771068131.153509,2026-02-14T11:22:11.152488+00:00,2026-02-14T11:22:11.153509+00:00,,,,180.0,[Errno 111] Connection refused
108,small,3,error,connection_error,0.426,1771068131.910736,1771068131.911163,2026-02-14T11:22:11.910736+00:00,2026-02-14T11:22:11.911163+00:00,,,,180.0,[Errno 111] Connection refused
109,medium,30,error,connection_error,0.511,1771068132.656451,1771068132.656963,2026-02-14T11:22:12.656451+00:00,2026-02-14T11:22:12.656963+00:00,,,,180.0,[Errno 111] Connection refused
110,medium,30,error,connection_error,0.437,1771068132.686437,1771068132.686874,2026-02-14T11:22:12.686437+00:00,2026-02-14T11:22:12.686874+00:00,,,,180.0,[Errno 111] Connection refused
111,medium,30,error,connection_error,0.423,1771068132.722298,1771068132.722722,2026-02-14T11:22:12.722298+00:00,2026-02-14T11:22:12.722722+00:00,,,,180.0,[Errno 111] Connection refused
112,large,500,error,connection_error,1.247,1771068132.884395,1771068132.885643,2026-02-14T11:22:12.884395+00:00,2026-02-14T11:22:12.885643+00:00,,,,180.0,[Errno 111] Connection refused
113,medium,30,error,connection_error,0.462,1771068132.993255,1771068132.993718,2026-02-14T11:22:12.993255+00:00,2026-02-14T11:22:12.993718+00:00,,,,180.0,[Errno 111] Connection refused
114,medium,30,error,connection_error,0.46,1771068133.452691,1771068133.453151,2026-02-14T11:22:13.452691+00:00,2026-02-14T11:22:13.453151+00:00,,,,180.0,[Errno 111] Connection refused
115,medium,30,error,connection_error,0.486,1771068133.486646,1771068133.487133,2026-02-14T11:22:13.486646+00:00,2026-02-14T11:22:13.487133+00:00,,,,180.0,[Errno 111] Connection refused
116,small,3,error,connection_error,0.455,1771068134.639758,1771068134.640214,2026-02-14T11:22:14.639758+00:00,2026-02-14T11:22:14.640214+00:00,,,,180.0,[Errno 111] Connection refused
117,small,3,error,connection_error,0.436,1771068134.744802,1771068134.745239,2026-02-14T11:22:14.744802+00:00,2026-02-14T11:22:14.745239+00:00,,,,180.0,[Errno 111] Connection refused
118,small,3,error,connection_error,0.421,1771068134.766693,1771068134.767116,2026-02-14T11:22:14.766693+00:00,2026-02-14T11:22:14.767116+00:00,,,,180.0,[Errno 111] Connection refused
